pred,test
-2.2707982063293457,-2.28296
-0.636008083820343,-0.816880000000083
-2.109672784805298,-1.96413999999999
-2.110962390899658,-2.17371
-0.6474199295043945,-0.952420000000018
-0.03232411667704582,-0.0863500000000386
-2.207566499710083,-1.92658
-0.35992521047592163,-0.48896000000002
-1.096421480178833,-1.11754000000008
-2.1744751930236816,-2.12076000000002
-1.7203006744384766,-1.65987000000007
-2.378140449523926,-2.47156000000001
-0.057759396731853485,0.017659999999978
-2.162259578704834,-2.15719000000001
1.8856804370880127,1.86963999999995
1.7653372287750244,1.84344999999999
0.39560285210609436,0.367509999999982
-1.1889197826385498,-1.15810000000005
-2.4921162128448486,-2.53111000000001
0.5229072570800781,0.177230000000009
-0.400012344121933,-0.43874999999997
0.9465775489807129,2.13984000000002
-1.9998207092285156,-2.1087
0.1825220137834549,0.0811999999999671
-0.2693415880203247,-0.231830000000002
-0.09863593429327011,-0.209300000000013
-1.080561876296997,-1.03130999999996
-0.8148326873779297,-0.75612000000001
-2.726961612701416,-2.71102999999999
0.984705924987793,0.60132999999999
2.0686726570129395,2.20251000000002
2.103663206100464,2.08529000000001
-0.8507667779922485,-0.923089999999974
-0.7468594908714294,-0.904269999999997
-1.7146469354629517,-1.53905000000003
-1.7698341608047485,-1.73640000000003
0.27057668566703796,0.31129999999996
0.15922386944293976,0.184139999999957
-0.543971836566925,-0.547500000000014
-1.9208322763442993,-1.80922999999999
-1.7221717834472656,-1.67234000000002
1.0585863590240479,0.777049999999974
-2.7978456020355225,-2.6857
0.7535788416862488,0.729760000000027
-1.2951606512069702,-1.32095000000004
1.61539626121521,1.62074999999999
2.125734806060791,2.11695000000003
1.3680518865585327,1.38956999999999
-1.2903101444244385,-1.07024000000007
-2.258246898651123,-2.25305000000009
0.6970947980880737,0.749690000000015
0.24853506684303284,0.326660000000004
-2.3218393325805664,-2.49768
1.2968060970306396,1.07804999999996
-2.490572452545166,-2.41188
-2.0763707160949707,-2.04965000000004
-1.6939465999603271,-1.82441
-2.114354372024536,-2.11749
-0.977214515209198,-0.922640000000058
0.12508206069469452,-0.047580000000039
-2.2965176105499268,-2.35273000000001
0.3189380168914795,0.333879999999965
0.5299691557884216,0.57758000000004
-2.0489163398742676,-2.06731000000002
0.024600347504019737,0.0614499999999794
1.9764339923858643,1.88198
0.042426690459251404,0.000560000000007221
-2.513512372970581,-2.55808000000002
1.8399101495742798,1.84862999999996
-2.2778022289276123,-2.34566000000001
-1.6458784341812134,-1.79664
-1.4494006633758545,-1.53953999999999
-2.1777262687683105,-2.26269000000002
-2.1694493293762207,-2.14936
1.2980433702468872,1.39934000000002
-1.7227365970611572,-1.71047999999999
-2.4521234035491943,-2.47351000000003
-2.4126288890838623,-2.51272
2.251371383666992,2.19547999999998
2.543992042541504,2.59610000000001
-1.4479879140853882,-1.56367
2.45086407661438,2.42942000000002
-1.5973310470581055,-1.41542000000004
-2.722079038619995,-2.73210999999998
-2.2174134254455566,-2.22397000000007
-0.6184694766998291,-0.450500000000034
1.7080415487289429,1.73320999999999
-1.7755138874053955,-1.78994
